Year,mean_annual_temp,mean_annual_precip,mean_july_temp,july_precip,summer_mean_temp,summer_precip,spring_mean_temp,spring_precip
1986,-1.7,314,12.4,74,10.4,112,-4,60
1987,-0.8,349,13,37,11,139,-2.4,38
1988,-1.5,451,11.7,96,10.8,176,-0.3,65
1989,-2.4,324,14.3,16,12.3,86,-2.3,40
1990,-3,416,12.9,31,11.7,154,0.3,41
1991,-1.5,423,11.7,86,10.8,154,-1.1,23
1992,-1.7,342,12.4,60,10.9,113,-1.1,46
1993,-0.6,372,13.1,50,11.5,104,0.2,24
1994,-1.9,426,13.4,56,12.7,117,0.5,42
1995,-1.6,342,12.8,58,11.5,125,-0.8,38
1996,-3.7,323,12.5,46,10.7,113,-2,43
1997,-0.8,418,13.2,80,12.2,150,-1.7,51
1998,-1.7,281,12.8,29,11.3,70,-0.2,27
1999,-2.6,442,12.7,36,11.7,122,-2.1,52
2000,-0.9,445,12,61,10.7,205,-0.6,44
2001,-1.3,338,12,55,11.6,114,-1.5,29
2002,-1.2,246,12.6,41,11.1,78,-4.6,30
2003,-1.5,283,13.7,39,11.6,89,-2.6,23
2004,-0.6,334,14.1,20,13.4,59,-0.1,54
2005,0.1,320,12.5,36,11.9,121,1.8,19
2006,-2,328,13,35,11.1,114,-2.4,43
2007,-2,305,13.2,42,11.9,100,-3.4,25
2008,-2.4,409,11.3,44,10.3,174,-0.6,33
2009,-1.9,343,14.5,39,12,126,-2.7,28
2010,-0.6,445,12.3,30,11.5,112,0.5,43
2011,-1.8,346,12.4,54,10.9,138,-2.3,27
2012,-2.5,452,11.5,52,10.9,196,-1.2,66
2013,-0.9,440,13.6,90,13,164,-3.1,37
2014,-0.4,343,13.2,74,11.3,140,-0.6,48
2015,0.4,285,12.8,50,11.8,136,1.8,26
2016,0.6,220,13.9,43,12.7,89,2.2,33
2017,-0.9,346,13,69,12,168,-1.4,33
2018,-0.6,241,14.4,27,12.2,98,-1.6,14
2019,0.4,336,14.5,78,12.7,158,2.3,47
2020,-1.5,434,12.5,75,11.2,205,-0.7,48
2021,-2,352,13.7,23,12.5,105,-1.6,46
2022,-0.2,317,13.5,34,12.6,75,-0.5,44
