Year,Cone_count,Mast
1986,577.4,yes
1987,120.9,no
1988,191.9,no
1989,0,no
1990,114.3,no
1991,3.2,no
1992,283.8,no
1993,614.9,yes
1994,2.7,no
1995,359,no
1996,168.4,no
1997,140.7,no
1998,2055.9,yes
1999,108.9,no
2000,29.5,no
2001,35.2,no
2002,266.2,no
2003,55.5,no
2004,55.4,no
2005,706.6,yes
2006,10.6,no
2007,170.1,no
2008,35.7,no
2009,87.8,no
2010,2639.6,yes
2011,0.6,no
2012,67.2,no
2013,173.9,no
2014,1468.2,yes
2015,0.2,no
2016,12.5,no
2017,87.8,no
2018,9.5,no
2019,2860.9,yes
2020,19.7,no
2021,1.1,no
2022,2755.9,yes
2023,,no
